City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
306,Lepley,RU,54.3092,42.8599,27.32,98,100,11.7,snow
307,Thompson,CA,55.7435,-97.8558,14.0,92,90,2.3,light snow
308,Egvekinot,RU,66.3167,-179.1667,-21.41,84,100,10.69,overcast clouds
309,Ornskoldsvik,SE,63.2909,18.7153,14.0,85,90,8.05,light snow
310,Charters Towers,AU,-20.1,146.2667,83.75,57,98,9.86,overcast clouds
311,Salalah,OM,17.0151,54.0924,66.2,68,0,3.44,clear sky
312,Villa Carlos Paz,AR,-31.4241,-64.4978,64.0,89,53,5.01,broken clouds
313,Dingle,PH,10.9995,122.6711,78.17,80,81,16.46,broken clouds
314,Waipawa,NZ,-41.4122,175.5153,72.0,63,0,10.36,clear sky
315,Maceio,BR,-9.6658,-35.7353,75.2,94,75,2.3,broken clouds
316,Pyaozerskiy,RU,65.8333,31.1667,10.33,95,100,5.39,light snow
317,Lugovoy,KZ,42.9472,72.7644,39.85,58,100,3.8,overcast clouds
318,Nemuro,JP,43.3236,145.575,15.8,67,20,3.44,few clouds
319,Saldanha,ZA,-33.0117,17.9442,63.63,92,0,1.63,clear sky
320,Iskateley,RU,67.6803,53.1512,0.05,92,98,11.18,overcast clouds
321,Thunder Bay,CA,48.4001,-89.3168,28.4,80,90,13.8,light snow
322,Najran,SA,17.4924,44.1277,59.0,29,0,2.89,clear sky
323,Eureka,US,40.8021,-124.1637,53.01,87,90,6.91,mist
324,Coihaique,CL,-45.5752,-72.0662,60.8,48,0,8.05,clear sky
325,Geraldton,AU,-28.7667,114.6,95.0,23,0,19.57,clear sky
326,Hauterive,FR,46.0901,3.4459,46.4,71,90,5.75,overcast clouds
327,Ryotsu,JP,38.0833,138.4333,35.6,75,75,25.32,broken clouds
328,Kudymkar,RU,59.0173,54.656,24.26,98,92,7.58,overcast clouds
329,Tigil,RU,57.8,158.6667,5.2,93,100,13.69,light snow
330,Moron,AR,-34.6534,-58.6198,64.0,89,86,5.99,overcast clouds
331,Mandan,US,46.8267,-100.8896,26.6,100,90,10.36,overcast clouds
332,Leningradskiy,RU,69.3833,178.4167,-27.49,82,0,2.84,clear sky
333,Pinillos,CO,8.9193,-74.4677,80.64,50,46,2.82,scattered clouds
334,Hamilton,US,39.1834,-84.5333,32.0,93,90,4.61,light snow
335,Ostersund,SE,63.1792,14.6357,1.4,92,90,2.26,light snow
336,Labuhan,ID,-6.8844,112.2051,80.51,83,67,6.2,broken clouds
337,Jalu,LY,29.0331,21.5482,59.0,43,0,11.23,clear sky
338,Faridpur,BD,23.6,89.8333,57.2,88,40,5.82,mist
339,Araouane,ML,18.9048,-3.5265,65.91,22,83,8.7,broken clouds
340,Pachino,IT,36.7186,15.0907,50.0,93,20,4.61,few clouds
